year,water_type,tons,value
2005,brackish,3276488,10427512.97
2006,brackish,3630220.8,11694377.68
2007,brackish,3948518.3,12320783.22
2008,brackish,4162654.28,13632470.41
2009,brackish,4386250.92,14776351.09
2010,brackish,4937064.02,16332079.3
2011,brackish,5656164.15,20418239.07
2012,brackish,6059373.16,21616625.81
2013,brackish,6388613.27,24879282.43
2014,brackish,7070452.71,27704112.51
2015,brackish,7477123.17,27972893.97
2016,brackish,8094254.11,30651848.14
2017,brackish,8533856.52,34632596.01
2018,brackish,8082505.44,37747896.69
2019,brackish,8823128.86,40514578.62
2005,freshwater,23649222.39,29836374.6
2006,freshwater,25334062.68,33845059.1
2007,freshwater,27122605.05,46586350.71
2008,freshwater,29239631.03,56438640.36
2009,freshwater,30823294.84,61661057.56
2010,freshwater,32264145.43,71478212.42
2011,freshwater,32868366.9,83433766.8
2012,freshwater,34591009.19,93431421.72
2013,freshwater,36387530.47,102840288.2
2014,freshwater,38269351.47,113338208.7
2015,freshwater,39822831.35,114397424.4
2016,freshwater,41476594.5,121972984.7
2017,freshwater,42658208.03,126587530.4
2018,freshwater,44385223.35,132115160
2019,freshwater,45951351.97,139018054.2
2005,marine,21235490.45,21986941.83
2006,marine,22199703.73,24964081.35
2007,marine,22846992.14,26854691.42
2008,marine,23595415.7,29103909.77
2009,marine,24109720.26,29795524.69
2010,marine,25038767.46,33391664.6
2011,marine,25644783.14,38335640.29
2012,marine,27570995.69,40712403.08
2013,marine,28185656.43,45969114.53
2014,marine,29079301.83,49735785.38
2015,marine,29899519.11,44521096.16
2016,marine,30895399.96,49871911.3
2017,marine,32262902.5,54463132.12
2018,marine,33174854.83,56027696.31
2019,marine,35252180.29,57897384.14
