species,water_type,value,quantity
[Rhopilema esculentum],Brackishwater,3341801.2,945658
[Cladosiphon okamuranus],Brackishwater,519.4,1
[Spirulina maxima],Brackishwater,0.1,2034
[Mugil spp],Brackishwater,1422.09,316.07
[Leporinus obtusidens],Freshwater,184.78,39.34
[Carassius spp],Freshwater,56436554.47,34688453.99
[Brycon cephalus],Freshwater,39198.47,1.39
[Brycon melanopterus],Freshwater,2595.07,759.22
[Brycon orbignyanus],Freshwater,1681.76,202.75
[Hypsibarbus spp],Freshwater,6791.84,1548
[Wallago spp],Freshwater,12.73,14742.38
[Ichthyoelephas humeralis],Freshwater,0,4116.53
[Haematococcus pluvialis],Freshwater,45907.23,0
[Leporinus spp],Freshwater,74614.78,2103.88
[Hoplias spp],Freshwater,7632.18,26983.25
[Pimelodus spp],Freshwater,72.55,59516.66
[Brycon hilarii],Freshwater,14695.7,5717
[Brycon amazonicus],Freshwater,172153.29,27.76
[Brycon spp],Freshwater,64270.36,2506
[Cichla spp],Freshwater,9082.44,27065.79
[Tetraselmis spp],Freshwater,36.54,1.45
[Spirulina platensis],Freshwater,5642.53,13494.5
[Spirulina maxima],Freshwater,41188.23,1390.42
[Prochilodus mariae],Freshwater,3457.78,647.85
[Anostomoides laticeps],Freshwater,20216.2,29994
[Labeo dussumieri],Freshwater,787.08,672
[Oreochromis tanganicae],Freshwater,18652.82,7186.5
[Sargassum spp],Marine,1474.97,747
[Meristotheca senegalense],Marine,54.01,300
[Macrocystis integrifolia],Marine,7.61,1.24
[Dunaliella salina],Marine,46.76,5
[Solea spp],Marine,28.09,1.63
[Capsosiphon fulvescens],Marine,161055.19,1
[Porphyra columbina],Marine,2,54433
[Chondracanthus chamissoi],Marine,265.27,176.65
[Trochita spp],Marine,25,5
[Oplegnathus fasciatus],Marine,49163.8,2876
Aba,Freshwater,186194.2,80954
Adriatic sturgeon,Freshwater,5789.6,377.77
"Africa-bighead catfish, hybrid",Freshwater,2273804.66,1802879
African bonytongue,Freshwater,154169.15,64832
African catfish,Freshwater,9.75,3
Akiami paste shrimp,Brackishwater,589.98,445
Algerian barb,Freshwater,695.81,1324
Amazon sailfin catfish,Freshwater,217.06,81.53
American bull frog,Freshwater,137980.84,40331.62
American cupped oyster,Brackishwater,1320.97,4477
American cupped oyster,Marine,1492688.48,1552964.23
American eel,Freshwater,0,0
American yellow perch,Freshwater,6579.4,948
Amur catfish,Freshwater,10426298.47,5344654.29
Arapaima,Freshwater,159779.19,35710.34
Arctic char,Brackishwater,353654.77,46989
Arctic char,Freshwater,177465.6,24195.97
Arctic char,Marine,34255.56,4272.83
Areolate grouper,Marine,10871.13,654
Argentinian silverside,Freshwater,0,0
Asian clam,Freshwater,901636.47,485213.31
Asian redtail catfish,Freshwater,229514.07,70282.88
Asian swamp eel,Freshwater,16626798.23,4135080.56
Asp,Freshwater,343.1,87.2
Atipa,Brackishwater,1523.89,331.12
Atipa,Freshwater,400.98,101.07
Atl.jackknife(=Atl.razor clam),Marine,189.2,4.65
Atlantic bluefin tuna,Marine,1394466.51,91283.06
Atlantic cod,Marine,467516.18,137253.98
Atlantic ditch shrimp,Brackishwater,3968.29,718.24
Atlantic halibut,Marine,308880.01,26318.72
Atlantic salmon,Brackishwater,448718.08,79795
Atlantic salmon,Freshwater,606516,82773.51
Atlantic salmon,Marine,163886152.8,28422186.38
Atlantic spadefish,Marine,30.45,9.51
Atlantic wolffish,Marine,0,0
Australian mussel,Marine,120576.06,50184.01
Ayu sweetfish,Freshwater,1121226.07,99229.23
Babberlocks,Marine,887.73,378.17
Bagrid catfish,Brackishwater,3055.46,746
Bagrid catfish,Freshwater,0,0
Baltic prawn,Brackishwater,15.6,3.9
Banana prawn,Brackishwater,2430848.23,624126.07
Banana prawn,Marine,168.98,14
Banded astyanax,Freshwater,8311.35,3182.2
